100-4,-17.80,23.58,14.20,-87.5,987.8,332.6,3.357,0.852,-0.631,37
100-5,-49.45,43.65,-1.07,-81.8,825.3,607.6,2.588,1.014,-0.635,65
100-0,-7.66,-10.69,-40.90,191.4,1684.7,251.6,-0.041,0.966,-3.141,93
100-1,70.42,23.90,-17.49,356.5,-87.1,-657.8,1.320,-0.285,0.290,30
100-2,15.32,-16.93,10.78,236.4,771.9,40.0,2.269,-0.732,-1.077,40
100-3,-3.70,-18.28,-0.37,154.0,733.9,204.9,2.474,-0.254,-1.210,36
100-4,-20.56,-7.81,13.34,-34.7,690.1,308.8,1.923,0.542,-1.535,37
100-5,-47.97,13.49,5.67,9.1,695.2,475.0,1.692,1.520,-0.958,65
100-0,-1.35,-60.96,-45.89,76.0,1077.5,177.2,-1.291,0.279,-1.639,93
100-1,84.89,2.81,-7.51,201.0,-51.5,-519.3,0.805,-1.584,0.632,30
100-2,27.51,-37.27,-0.58,121.0,535.2,71.4,0.629,-0.386,-2.714,39
100-3,4.69,-38.26,-8.70,120.3,483.5,165.5,0.011,0.810,-3.242,35
100-4,-21.34,-31.97,11.70,70.7,573.9,150.7,-0.864,1.618,-3.301,37
100-5,-49.57,-10.94,19.31,0.9,575.5,14.0,-0.989,0.773,-2.628,65
100-0,115.02,-83.15,-163.14,103.4,-472.6,79.2,-4.391,-0.433,-2.027,93
100-1,89.09,-0.79,-5.12,127.9,-329.8,288.7,-1.020,-1.075,-1.830,28
100-2,37.11,-41.08,-8.92,128.0,-404.8,34.3,-2.387,1.212,-4.182,36
100-3,11.53,-40.86,-10.91,156.6,-450.8,-72.6,-1.647,1.064,-4.554,35
100-4,-17.51,-31.64,14.15,265.2,-489.0,-160.2,-1.705,0.758,-3.673,37
100-5,-45.16,-9.09,21.87,402.5,-501.0,-206.7,-1.026,1.077,-2.355,65
100-0,21.97,-67.63,-61.30,349.8,-934.1,12.7,-2.327,0.656,-1.241,93
100-1,92.79,17.62,2.89,-48.5,-20.0,717.2,1.365,-0.900,0.142,28
100-2,31.33,-23.16,5.75,-0.9,-711.0,6.5,1.293,0.492,-2.888,36
100-3,11.06,-16.99,-1.00,62.6,-850.3,-138.8,2.346,1.385,-2.574,35
100-4,-8.56,-6.07,17.57,272.4,-848.0,-332.4,2.279,2.090,-2.477,37
100-5,-28.68,17.77,19.61,391.2,-882.4,-492.6,1.701,2.054,-1.480,65
100-0,9.75,-19.97,-39.48,-12.3,-1643.6,-102.2,-1.146,1.060,-3.242,93
